accession,name,description,Study Disease/Focus,Study Design,Study Molecular Data Type,Study Content,NIH Institute,Study Consent
phs001113.v1.p1,Darmkrebs: Chancen der Verhutung durch Screening (DACHS),This study phs001113 DACHS contains genotype and phenotype of subjects available from the phs001113 study. Summary level phenotypes for the NCI GECCO Consortium study participants can be viewed at the   recruited by their treating physicians or via mail; all regional hospitals treating colorectal cancer participated. Matched controls were selected from,Colorectal Neoplasms,Case-Control,"SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 11 variables, 1 molecular datasets, 4686 subjects, 5125 samples",NCI,"GRU --- General Research Use, HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), CADM --- Cancer in all age groups, other diseases in adults only, and methods, HMB-PUB-NPU-MDS-GSO --- Health/Medical/Biomedical (PUB, NPU, MDS, GSO), DS-CC-NPU-GSO --- Disease-Specific (Colorectal Cancer, NPU, GSO), DS-CC --- Health/Medical/Biomedical (PUB), HMB-IRB --- Health/Medical/Biomedical (IRB), DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB --- Health/Medical/Biomedical (PUB)"
phs001104.v1.p1,French Association STudy Evaluating RISK for Sporadic Colorectal Cancer    (ASTERISK),This study phs001104 ASTERISK contains genotype and phenotype of subjects available from the phs001104 study. Summary level phenotypes for the NCI GECCO Consortium study participants can be viewed at the   consortium. The french Association STudy Evaluating RISK for sporadic colorectal cancer (ASTERISK) is a case-control study with participants from the Pays de,Colorectal Neoplasms,Case-Control,"SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 11 variables, 1 molecular datasets, 1937 subjects, 2005 samples",NCI,"GRU --- General Research Use, HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), CADM --- Cancer in all age groups, other diseases in adults only, and methods, HMB-PUB-NPU-MDS-GSO --- Health/Medical/Biomedical (PUB, NPU, MDS, GSO), DS-CC-NPU-GSO --- Disease-Specific (Colorectal Cancer, NPU, GSO), DS-CC-MDS --- Disease-Specific (Colorectal Cancer, MDS), HMB-IRB --- Health/Medical/Biomedical (IRB), DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB --- Health/Medical/Biomedical (PUB)"
phs001094.v1.p1,"Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO)","This study phs001094 PLCO contains genotype and phenotype of subjects available from the phs001094 study. Summary level phenotypes for the NCI GECCO Consortium study participants can be viewed at the   consortium. The Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO) was initiated as a large, randomized, two-arm trial with the aim of",Colorectal Neoplasms,Prospective Longitudinal Cohort,"SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 11 variables, 1 molecular datasets, 1123 subjects, 1189 samples",NCI,"GRU --- General Research Use, HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), CADM --- Cancer in all age groups, other diseases in adults only, and methods, HMB-PUB-NPU-MDS-GSO --- Health/Medical/Biomedical (PUB, NPU, MDS, GSO), DS-CC-NPU-GSO --- Disease-Specific (Colorectal Cancer, NPU, GSO), DS-CC-MDS --- Disease-Specific (Colorectal Cancer, MDS), HMB-IRB --- Health/Medical/Biomedical (IRB), DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB --- Health/Medical/Biomedical (PUB)"
phs001092.v1.p1,Postmenopausal Hormones Supplementary Study to the Colon Cancer Family    Registry (PMH-CCFR),"This study phs001092 PMH CCFR contains genotype and phenotype of subjects available from the phs001092 study. Summary level phenotypes for the NCI GECCO Consortium study participants can be viewed at   with available telephone numbers. Colorectal cancer cases exclusions: In situ, Neuroendocrine carcinoma (large cell), Squamous cell carcinoma, Carcinoid",Colorectal Neoplasms,Case-Control,"SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 11 variables, 1 molecular datasets, 450 subjects, 463 samples",NCI,"GRU --- General Research Use, HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), CADM --- Cancer in all age groups, other diseases in adults only, and methods, HMB-PUB-NPU-MDS-GSO --- Health/Medical/Biomedical (PUB, NPU, MDS, GSO), DS-CC-NPU-GSO --- Disease-Specific (Colorectal Cancer, NPU, GSO), DS-CC-MDS --- Disease-Specific (Colorectal Cancer, MDS), HMB-IRB --- Health/Medical/Biomedical (IRB), DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB --- Health/Medical/Biomedical (PUB)"
phs001077.v1.p1,Women's Health Initiative (WHI),This study phs001077 WHI Colorectal Cancer contains genotype and phenotype of subjects available from the phs001077 study. Summary level phenotypes for the NCI GECCO Consortium study participants can be viewed   utilizing the WHI August 2009 database. Cases were comprised of centrally adjudicated colon and colorectal cancer cases from the OS and CT who were not,Colorectal Neoplasms,Case-Control,"SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 11 variables, 1 molecular datasets, 2191 subjects, 2191 samples",NCI,"GRU --- General Research Use, HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), CADM --- Cancer in all age groups, other diseases in adults only, and methods, HMB-PUB-NPU-MDS-GSO --- Health/Medical/Biomedical (PUB, NPU, MDS, GSO), DS-CC-NPU-GSO --- Disease-Specific (Colorectal Cancer, NPU, GSO), DS-CC-MDS --- Disease-Specific (Colorectal Cancer, MDS), HMB-IRB --- Health/Medical/Biomedical (IRB), DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB --- Health/Medical/Biomedical (PUB)"
phs001056.v1.p1,"Diet, Activity, and Lifestyle Study (DALS)","This study phs001056 DALS contains genotype and phenotype of subjects available from the phs001056 study. Summary level phenotypes for the NCI GECCO Consortium study participants can be viewed at the   history of colorectal cancer. Colorectal cancer cases exclusions: Cases with pathology report designated familial adenomatous polyposis, Crohn's disease, or",Colorectal Neoplasms,Case-Control,"SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 11 variables, 1 molecular datasets, 880 subjects, 916 samples",NCI,"GRU --- General Research Use, HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), CADM --- Cancer in all age groups, other diseases in adults only, and methods, HMB-PUB-NPU-MDS-GSO --- Health/Medical/Biomedical (PUB, NPU, MDS, GSO), DS-CC-NPU-GSO --- Disease-Specific (Colorectal Cancer, NPU, GSO), DS-CC-MDS --- Disease-Specific (Colorectal Cancer, MDS), HMB-IRB --- Health/Medical/Biomedical (IRB), DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB --- Health/Medical/Biomedical (PUB)"
phs000965.v1.p1,VITamins And Lifestyle (VITAL),This study phs000965 VITAL contains genotype and phenotype of subjects available from the phs000965 study. Summary level phenotypes for the NCI GECCO Consortium study participants can be viewed at the  -control set was genotyped using Illumina HumanCytoSNP. Colorectal cancer cases exclusions: No available DNA Colorectal cancer before baseline In situ cases,Colorectal Neoplasms,Case-Control,"SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 11 variables, 1 molecular datasets, 607 subjects, 637 samples",NCI,"GRU --- General Research Use, HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), CADM --- Cancer in all age groups, other diseases in adults only, and methods, HMB-PUB-NPU-MDS-GSO --- Health/Medical/Biomedical (PUB, NPU, MDS, GSO), DS-CC-NPU-GSO --- Disease-Specific (Colorectal Cancer, NPU, GSO), DS-CC-MDS --- Disease-Specific (Colorectal Cancer, MDS), HMB-IRB --- Health/Medical/Biomedical (IRB), DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB --- Health/Medical/Biomedical (PUB)"
phs001315.v1.p1,GECCO: Detecting Common and Rare Genetic Loci and GxE Interactions in    Colorectal Cancer,"COLON, Colorectal Cancer: Longitudinal Observational study on Nutritional and lifestyle factors that influence colorectal tumor recurrence, survival and quality of life: The COLON study is a multi-center prospective cohort study  to assess the role of diet and other lifestyle factors in cancer recurrence and survival among incident colorectal cancer patients in the Netherlands",Colorectal Neoplasms,Case-Control,"SNP Genotypes (Array), SNP Genotypes (imputed)","4 phenotype datasets, 24 variables, 2 molecular datasets, 8725 subjects, 9101 samples",NCI,"GRU --- General Research Use, DS-CC-NPU-GSO --- Disease-Specific (Colorectal Cancer, NPU, GSO), DS-CC-PUB-NPU --- Disease-Specific (Colorectal Cancer, PUB, NPU), HMB-PUB --- Health/Medical/Biomedical (PUB)"
phs001084.v1.p1,Differential Mutations in Matched Primary and Metastatic Colorectal    Cancers,"This study compares DNA mutations detected in matched primary and metastatic colorectal cancer samples from 18 individuals across 1,321 genes. We found many more mutations were shared between tumor pairs   observed in genes known to be involved in colorectal cancer progression. Therefore, although primary and metastatic colorectal tumors are highly genetically",Colorectal Neoplasms,Case Set,Targeted-Capture,"4 phenotype datasets, 14 variables, 38 samples sequenced, 18 subjects, 38 samples",NCI,GRU --- General Research Use
phs001400.v1.p1,Advanced Genomic Techniques in Sequencing of Colorectal Cancer,"We developed a method that uses allelic imbalance information in combination with phased genomic sequencing to generate mega-haplotypes that can encompass entire chromosome arms. We applied this technique to characterize  aneuploidy and chromosomal alterations in colorectal cancers. Principal Investigator: Hanlee P. Ji, MD, Stanford University School of Medicine",Colorectal Neoplasms,Case-Control,WGS,"4 phenotype datasets, 15 variables, 11 samples sequenced, 4 subjects, 11 samples",NHGRI,"HMB-PUB-NPU-MDS --- Health/Medical/Biomedical (PUB, NPU, MDS)"
phs001384.v1.p1,Time Lapse to Cancer-Defining the Transition from Polyp to Cancer,"In the US, CRC incidence has declined with uptake in colonoscopy for early detection and removal of polyps, the precursor lesion, can stop a cancer from developing but in spite   cancer or polyps, or family history of gastric cancer, small bowel cancer, GIST and/or colorectal cancer and/or inflammatory bowel disease and who are",Colorectal Neoplasms,Case Set,"Bisulfite-Seq, RNA-Seq, SNP Genotypes (NGS), WGS","4 phenotype datasets, 19 variables, 1 molecular datasets, 268 samples sequenced,  SRA, 31 subjects, 268 samples",NCI,HMB --- Health/Medical/Biomedical
phs001111.v1.p1,A Prognostic Role of APC in Colorectal Cancers,"Colorectal cancer (CRC) is a highly heterogeneous disease, for which prognosis has been relegated to clinic-pathologic staging for decades. There is a need to molecularly stratify subpopulations of CRC to   staging and potential therapeutic assignment for CRC. Inclusion criteria: patients with colorectal cancer specimen subjected to targeted gene sequencing",Colorectal Neoplasms,Case Set,Targeted-Capture,"4 phenotype datasets, 29 variables, 468 samples sequenced,  SRA, 468 subjects, 468 samples",NCI,GRU --- General Research Use
phs000824.v1.p1,Genome-Wide Discovery of Novel Colon Cancer Predisposing Mutations,"Cancer risk shows clear heritability, but the inherited genetic factors remain largely unknown. This project will seek to identify new genes in which mutations confer hereditary risk for early onset  colorectal cancer, with important implications for both biological understanding and clinical prediction and prevention. Identifying cancer",Colorectal Neoplasms,Case Set,"SNP Genotypes (NGS), WXS","4 phenotype datasets, 12 variables, 1 molecular datasets, 100 samples sequenced, 100 subjects, 100 samples",NHGRI,"DS-GLCS-GSO --- Disease-Specific (Cancer - Germline genetic susceptibility, GSO)"
phs000790.v1.p1,Comparative Analysis of Primary and Metastatic Colorectal Cancer,"Molecular profiling for somatic mutations that predict response to anti-EGFR therapy in colorectal cancer (CRC) has become standard practice. However, abundant tissue from metastatic lesions is not always available from   and metastatic lesions. Patients with metastatic colorectal cancer were included if they consented to a tissue acquisition protocol approved by the",Colorectal Neoplasms,Prospective Longitudinal Cohort,"SNV (.MAF), WGS","3 phenotype datasets, 17 variables, 1 molecular datasets, 12 samples sequenced, 4 subjects, 12 samples",NCI,GRU-MDS --- General Research Use (MDS)
phs000779.v1.p1,OFCCR SNP-CpG,"We profiled the methylation landscape of 2100 DNA samples ( 1100 cases of colorectal cancer and 1000 controls) from the Ontario Familial Colon Cancer Registry (OFCCR) using the HumanMethylation450 array   Registry (OFCCR). Probands were selected from incident colorectal cancer cases identified between July 1,1997 and June 30, 2000 from the population-based",Colorectal Neoplasms,Case-Control,"Methylation (CpG), SNP Genotypes (Array)","4 phenotype datasets, 15 variables, 1 molecular datasets, 2402 subjects, 2902 samples",NHGRI,"DS-CA-IRB --- Disease-Specific (Cancer, IRB)"
phs000410.v1.p1,Whole Exome Sequencing for Colorectal Cancer,This project was designed to use next generation sequencing technology to screen the protein coding regions of the genome for low frequency variants in a panel of high-risk colorectal adenocarcinoma  cases. Blood and cell-line DNA for colorectal cancer patients and a subset of quality control samples that had existing whole exome sequence data,Colorectal Neoplasms,Case Set,WXS,"4 phenotype datasets, 21 variables, 168 samples sequenced,  SRA, 165 subjects, 174 samples",NCI,"GRU-MDS --- General Research Use (MDS), GRU-NPU-MDS --- General Research Use (NPU, MDS)"
phs000385.v1.p1,Epigenetic Profiling of Human Colorectal Cancer,"DNA methylation, together with chromatin modifications, constitute the epigenome that functions to regulate gene expression and genome integrity. DNA methylation alterations are ubiquitous in human cancers, as many genes acquire   previously shown distinct human colorectal cancer subtypes based on DNA methylation differences. Correlating these DNA methylation differences with clinical co",Colorectal Neoplasms,Case-Control,"SNP Genotypes (Array), Bisulfite-Seq","5 phenotype datasets, 42 variables, 1 documents, 1 molecular datasets, 2 samples sequenced,  SRA, 100 subjects, 104 samples",NCI,GRU --- General Research Use
phs001787.v1.p1,Discovery of Colorectal Cancer Susceptibility Genes in High-Risk Families,"Colorectal cancer remains one of the most common cancers in the US with 146,970 new diagnoses and 49,920 deaths estimated for 2009. Colon cancer is also one of the most   family history. The most prominent high-risk colorectal cancer susceptibility genes, APC, MLH1, MSH2, MSH6, and PTEN, were all discovered more than a","Colorectal Neoplasms, Hereditary Nonpolyposis",Case Set,"SNP Genotypes (Array), WXS","4 phenotype datasets, 17 variables, 1 molecular datasets, 159 samples sequenced,  SRA, 51 subjects, 206 samples",NCI,"DS-CA-MDS --- Disease-Specific (Cancer, MDS)"
phs001407.v1.p1,HNPCC-Sys: Molecular Characterization of Lynch Syndromes,"Lynch Syndrome (LS) tumors are characterized by constitutional mutations in DNA mismatch-repair genes. Colorectal cancers (CRCs) are the predominant tumor type in patients with LS. Here, we have used whole-genome   mutation spectrum. Paired patient-matched specimens of tumor (adenoma and/or cancer) and tumor-distant non- neoplastic mucosa as reference samples were","Colorectal Neoplasms, Hereditary Nonpolyposis",Tumor vs. Matched-Normal,"RNA-Seq, WGS","4 phenotype datasets, 30 variables, 46 samples sequenced,  SRA, 11 subjects, 46 samples",NCI,"DS-LYN-PUB-NPU --- Disease-Specific (Lynch Syndrome, PUB, NPU)"
phs002545.v1.p1,Nivolumab and Ipilimumab and Radiation Therapy in Microsatellite Stable    (MSS) and Microsatellite Instable (MSI) High Colorectal and Pancreatic    Cancer,"This is a single-arm, non-randomized, phase 2 trial (NCT03104439) combining radiation, ipilimumab and nivolumab in patients with metastatic MSS Colorectal Cancer (CRC; n 40) and Pancreatic Ductal Adenocarcinoma Cancer (PDAC;  ), National Institutes of Health (NIH). Metastatic MSS Colorectal Cancer (CRC) Inclusion Criteria at least 18 years old; histologically or cytologically",Immunotherapy,Case Set,WXS,"5 phenotype datasets, 19 variables, 58 samples sequenced, 26 subjects, 72 samples",NCI,HMB --- Health/Medical/Biomedical
phs002037.v1.p1,Methylation Biomarker Study of Magnesium Deficiency and Colorectal Cancer,"Five US studies using the Mg tolerance test, the ""gold standard"" test of Mg status, indicated that 50% participants had Mg deficiency. In our ongoing US trial, we have found   Mg deficiency, high Mg intake has been related to increased risk of total mortality (e.g. total cancer, colorectal cancer, and CVD), particularly when",Magnesium Deficiency,Clinical Trial,Methylation (CpG),"4 phenotype datasets, 16 variables, 1 molecular datasets, 238 subjects, 476 samples",NCI,GRU --- General Research Use
